staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date
Alex Mantos,30136,PRN20150001,4385,Substitutions/Additions,TG McCauley Construction,TG McCauley - Portable Source GCP2-4385,7/2/2015 10:08,,,8/1/2015 0:00,8/1/2015 0:00,7/8/2015 8:39,,,
Teri Waldron,30142,PRN20140001,4386R1,Administrative Revision ,Jobe Materials LP,Jobe Materials - 400 TPH Crusher2 GCP2-4386,1/3/2014 11:51,,,2/2/2014 0:00,2/2/2014 0:00,,,,1/14/2014 12:41
Imam Imanuddin,30142,PRN20110001,4386,GCP2-New ,Jobe Materials LP,Jobe Materials - 400 TPH Crusher2 GCP2-4386,3/2/2011 10:34,,,4/1/2011 0:00,4/1/2011 0:00,3/16/2011 16:29,,,1/14/2014 12:42
Teri Waldron,30142,PRN20110002,4386,Substitutions/Additions,Jobe Materials LP,Jobe Materials - 400 TPH Crusher2 GCP2-4386,5/2/2011 10:59,,,6/1/2011 0:00,6/1/2011 0:00,5/9/2011 10:59,,,1/14/2014 12:42
Arianna Espinoza,30143,PRN20190001,4387R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Mesquite State Battery,11/13/2019 15:16,,,12/13/2019 0:00,12/13/2019 0:00,11/25/2019 10:00,,,
Maheshwar Thakur,30143,PRN20110001,4387,Notice of Intent ,Spur Energy Partners LLC,COG Operating LLC - Mesquite State Battery,3/3/2011 15:57,,,4/2/2011 0:00,4/2/2011 0:00,4/1/2011 15:38,,,
Imam Imanuddin,30146,PRN20110002,4400,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,3/15/2011 11:37,,,4/14/2011 0:00,4/14/2011 0:00,4/7/2011 10:54,,,
Martyne Kieling,30146,PRN20110003,4400R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,7/7/2011 7:32,,,8/6/2011 0:00,8/6/2011 0:00,7/29/2011 9:45,,,
Teri Waldron,30146,PRN20120001,4400R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,2/8/2012 10:36,,,3/9/2012 0:00,3/9/2012 0:00,2/15/2012 16:14,,,
Martyne Kieling,30146,PRN20120002,4400R3,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,4/26/2012 15:36,,,5/26/2012 0:00,5/26/2012 0:00,5/8/2012 14:56,,,
Mark Jones,30146,PRN20120003,4400R4,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,8/27/2012 9:16,,,9/26/2012 0:00,9/26/2012 0:00,9/26/2012 17:16,,,
Teri Waldron,30146,PRN20130001,4400R5,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,5/29/2013 11:55,,,6/28/2013 0:00,6/28/2013 0:00,6/3/2013 17:24,,,
Teri Waldron,30146,PRN20150001,4400R6,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Diamond 22-1H,1/13/2015 7:50,,,2/12/2015 0:00,2/12/2015 0:00,1/20/2015 15:30,,,
Teri Waldron,30150,PRN20150001,4391R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - CK 7 Federal 1 and 2,2/13/2015 8:55,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:17
Sandy Spon,30150,PRN20110001,4391,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Portable Waukesha F18GL Packages,3/7/2011 11:52,,,4/6/2011 0:00,4/6/2011 0:00,4/5/2011 9:22,,,2/17/2015 11:17
Teri Waldron,30152,PRN20150001,4390R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy -  Portable Caterpillar 3304NA Packages,2/13/2015 10:13,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:09
Imam Imanuddin,30152,PRN20110001,4390,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Portable Caterpillar 3304NA Packages,3/7/2011 12:03,,,4/6/2011 0:00,4/6/2011 0:00,3/30/2011 11:14,,,2/17/2015 11:10
Teri Waldron,30153,PRN20150001,4389R2,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy  - Portable Caterpillar 3516LE Packages,2/13/2015 10:17,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:05
Martyne Kieling,30153,PRN20110001,4389,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy  - Portable Caterpillar 3516LE Packages,3/7/2011 12:18,,,4/6/2011 0:00,4/6/2011 0:00,3/28/2011 10:02,,,2/17/2015 11:04
Kerry Carr,30153,PRN20110002,4389R1,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy  - Portable Caterpillar 3516LE Packages,8/24/2011 11:45,,,9/23/2011 0:00,9/23/2011 0:00,9/21/2011 17:26,,,2/17/2015 11:04
Kerry Carr,30154,PRN20110002,4392R1,Notice of Exemption,Dan Chisholm (L&M Radiator),L&M Radiator,6/6/2011 11:48,,,7/6/2011 0:00,7/6/2011 0:00,6/13/2011 14:42,,,
Norma Perez,30154,PRN20110001,4392,Notice of Intent ,Dan Chisholm (L&M Radiator),Dan Chisholm - L&M Radiator,3/7/2011 12:52,,,4/6/2011 0:00,4/6/2011 0:00,3/22/2011 16:05,,,
Norma Perez,30154,PRN20110003,4392R2,Notice of Intent ,Dan Chisholm (L&M Radiator),L&M Radiator,6/14/2011 9:22,,,7/14/2011 0:00,7/14/2011 0:00,7/7/2011 9:45,,,
Martyne Kieling,30154,PRN20120001,4392R3,Notice of Intent ,Dan Chisholm (L&M Radiator),L&M Radiator,4/19/2012 16:30,,,5/19/2012 0:00,5/19/2012 0:00,4/30/2012 9:45,,,
Norma Perez,30155,PRN20110001,4394,No Permit Required,Shell Exploration and Production Co,Shell Exploration - Lobo Exploration Development,3/8/2011 14:48,,,,,3/9/2011 16:31,,,
Kerry Carr,30156,PRN20110001,4393,QGF - Solar Photovoltaic,Public Service Company of New Mexico (PNM),PNM- Hondale Solar Facility (9 MW),3/2/2011 14:03,,,8/29/2011 0:00,8/29/2011 0:00,4/14/2011 8:28,,,
Martyne Kieling,30161,PRN20110001,4397,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,3/10/2011 9:11,,,4/9/2011 0:00,4/9/2011 0:00,3/28/2011 11:08,,,
Martyne Kieling,30161,PRN20110002,4397R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,7/7/2011 7:38,,,8/6/2011 0:00,8/6/2011 0:00,7/29/2011 9:44,,,
Teri Waldron,30161,PRN20120001,4397R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,4/26/2012 15:15,,,5/26/2012 0:00,5/26/2012 0:00,5/3/2012 9:39,,,
Teri Waldron,30161,PRN20120002,4397R3,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,11/2/2012 13:10,,,12/2/2012 0:00,12/2/2012 0:00,11/8/2012 11:32,,,
Marvin Mascarenas,30161,PRN20160001,4397R4,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,4/12/2016 11:42,,,5/12/2016 0:00,5/12/2016 0:00,5/12/2016 8:02,,,
Marvin Mascarenas,30161,PRN20160002,4397R5,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Emerald 20-1H,10/3/2016 16:26,,,11/2/2016 0:00,11/2/2016 0:00,10/25/2016 8:22,,,
Martyne Kieling,30162,PRN20110001,4396,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,3/10/2011 9:21,,,4/9/2011 0:00,4/9/2011 0:00,3/28/2011 11:18,,,
Imam Imanuddin,30162,PRN20110002,4396R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,7/7/2011 7:45,,,8/6/2011 0:00,8/6/2011 0:00,7/25/2011 10:04,,,
Teri Waldron,30162,PRN20120001,4396R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,4/26/2012 16:50,,,5/26/2012 0:00,5/26/2012 0:00,5/4/2012 10:17,,,
Steve Madrid,30162,PRN20120002,4396R3,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,10/2/2012 12:17,,,11/1/2012 0:00,11/1/2012 0:00,10/26/2012 14:12,,,
Greg Tickle,30162,PRN20140002,4396R4,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Agate 21-1H,12/22/2014 11:51,,,1/21/2015 0:00,1/21/2015 0:00,1/9/2015 10:44,,,
Arianna Espinoza,30164,PRN20190001,4398R1,Administrative Revision ,Spur Energy Partners LLC,Spur - GC Federal Battery,11/13/2019 8:01,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 14:53,,,
Imam Imanuddin,30164,PRN20110001,4398,Notice of Intent ,Spur Energy Partners LLC,COG Operating LLC - GC Federal Battery,3/15/2011 11:53,,,4/14/2011 0:00,4/14/2011 0:00,4/6/2011 11:00,,,
Norma Perez,30168,PRN20110001,4401,No Permit Required,DRS Rock Materials LLC,DRS Rock Materials - Conveyor & Hopper Slurry Facility,3/16/2011 13:22,,,,,,,4/8/2011 15:23,
Arianna Espinoza,30174,PRN20190001,4402R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Houma State Battery,11/13/2019 12:02,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 15:21,,,
Maheshwar Thakur,30174,PRN20110001,4402,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Houma State Battery,3/18/2011 11:29,,,4/17/2011 0:00,4/17/2011 0:00,4/15/2011 10:44,,,
Arianna Espinoza,30176,PRN20190001,4403R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Leaker CC State NO1 Battery,11/13/2019 14:07,,,12/13/2019 0:00,12/13/2019 0:00,11/25/2019 9:14,,,
Maheshwar Thakur,30176,PRN20110001,4403,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Leaker CC State NO1 Battery,3/18/2011 12:01,,,4/17/2011 0:00,4/17/2011 0:00,4/15/2011 10:47,,,
Arianna Espinoza,30178,PRN20190001,4404R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Texaco BE Paddock Battery,11/13/2019 10:43,,,12/13/2019 0:00,12/13/2019 0:00,11/25/2019 11:42,,,
Maheshwar Thakur,30178,PRN20110001,4404,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Texaco BE Paddock Battery,3/18/2011 12:51,,,4/17/2011 0:00,4/17/2011 0:00,3/31/2011 11:08,,,
Martyne Kieling,30182,PRN20110001,4406,Notice of Intent ,Devon Energy Production Company LP,Devon Energy  - Thistle Unit NO18H,3/22/2011 9:18,,,4/21/2011 0:00,4/21/2011 0:00,4/5/2011 14:26,,,
Arianna Espinoza,30183,PRN20200001,4405R1,Administrative Revision ,Devon Energy Production Company LP,Devon Energy - Double Dale Site,1/23/2020 12:04,,,2/22/2020 0:00,2/22/2020 0:00,,,,2/21/2020 8:29
Martyne Kieling,30183,PRN20110001,4405,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Double Dale Site,3/22/2011 9:28,,,4/21/2011 0:00,4/21/2011 0:00,4/5/2011 14:22,,,2/21/2020 8:29
Arianna Espinoza,30187,PRN20180001,4411R2,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable GM 8.1L Compressor Package,10/29/2018 9:20,,,11/28/2018 0:00,11/28/2018 0:00,11/16/2018 16:13,,,
Teri Waldron,30187,PRN20110001,4411,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable GM 8.1L Packages,3/23/2011 10:25,,,4/22/2011 0:00,4/22/2011 0:00,3/24/2011 15:43,,,
Marvin Mascarenas,30187,PRN20160001,4411R1,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable GM 8.1L Compressor Package,5/18/2016 13:09,,,6/17/2016 0:00,6/17/2016 0:00,6/15/2016 9:38,,,
Arianna Espinoza,30188,PRN20180001,4410R1,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable Cummings GTA855 Packages  256HP,10/29/2018 10:01,,,11/28/2018 0:00,11/28/2018 0:00,11/19/2018 8:05,,,
Martyne Kieling,30188,PRN20110001,4410,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable Cummings GTA855 Packages  256HP,3/23/2011 10:34,,,4/22/2011 0:00,4/22/2011 0:00,4/12/2011 11:41,,,
Arianna Espinoza,30189,PRN20180001,4409R1,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable Cummings GTA855 281HP Pkgs,10/29/2018 10:03,,,11/28/2018 0:00,11/28/2018 0:00,11/19/2018 8:07,,,
Martyne Kieling,30189,PRN20110001,4409,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable Cummings GTA855 281HP Pkgs,3/23/2011 10:43,,,4/22/2011 0:00,4/22/2011 0:00,4/12/2011 11:38,,,
Arianna Espinoza,30190,PRN20180001,4407R2,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable CAT 3412LE Pkgs,10/29/2018 8:59,,,11/28/2018 0:00,11/28/2018 0:00,11/16/2018 13:20,,,
Martyne Kieling,30190,PRN20110001,4407,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable CAT 3412LE Pkgs,3/23/2011 11:34,,,4/22/2011 0:00,4/22/2011 0:00,4/5/2011 10:39,,,
Arianna Espinoza,30191,PRN20180001,4408R1,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable CAT 3512LE Pkgs,10/29/2018 10:07,,,11/28/2018 0:00,11/28/2018 0:00,11/19/2018 8:09,,,
Kerry Carr,30191,PRN20110001,4408,Notice of Intent ,Hilcorp Energy Company,XTO Energy - Portable CAT 3512LE Pkgs,3/23/2011 11:54,,,4/22/2011 0:00,4/22/2011 0:00,4/14/2011 12:19,,,
Leslee Kimbrell,30193,PRN20200001,4668R1,Administrative Revision ,Devon Energy Production Company LP,Ichabod 7 Federal NO2H,8/28/2020 13:53,,,9/27/2020 0:00,9/27/2020 0:00,,,,10/6/2020 18:22
Teri Waldron,30193,PRN20120001,4668,Notice of Intent ,Devon Energy Production Company LP,Ichabod 7 Federal NO2H,1/11/2012 11:50,,,2/10/2012 0:00,2/10/2012 0:00,1/17/2012 9:19,,,10/6/2020 18:23
Teri Waldron,30196,PRN20130001,4412R1,Administrative Revision ,Chevron USA Inc, PLU Big Sinks 27 Federal 1H,8/23/2013 13:04,,,9/22/2013 0:00,9/22/2013 0:00,9/12/2013 9:48,,,11/20/2020 9:05
Arianna Espinoza,30196,PRN20200001,4412R2,Administrative Revision ,Chevron USA Inc, PLU Big Sinks 27 Federal 1H,10/26/2020 10:53,,,11/25/2020 0:00,11/25/2020 0:00,,,,11/20/2020 9:05
Maheshwar Thakur,30196,PRN20110001,4412,Notice of Intent ,Chevron USA Inc,Chesapeake Operating - PLU Big Sinks 27 Federal 1H,3/24/2011 11:05,,,4/23/2011 0:00,4/23/2011 0:00,4/19/2011 10:48,,,11/20/2020 9:05
Teri Waldron,30220,PRN20150001,4414R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - Gemini G26,2/13/2015 10:28,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:30
Norma Perez,30220,PRN20110001,4414,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Gemini G26,4/4/2011 7:01,,,5/4/2011 0:00,5/4/2011 0:00,4/25/2011 18:27,,,2/17/2015 11:31
Teri Waldron,30221,PRN20150001,4415R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - Arrow VRG220,2/9/2015 9:32,,,3/11/2015 0:00,3/11/2015 0:00,,,,2/17/2015 9:32
Maheshwar Thakur,30221,PRN20110001,4415,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Arrow VRG220,4/4/2011 7:11,,,5/4/2011 0:00,5/4/2011 0:00,5/2/2011 8:59,,,2/17/2015 9:33
Teri Waldron,30222,PRN20150001,4416R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - Arrow VRG330,2/13/2015 10:33,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:36
Sandy Spon,30222,PRN20110001,4416,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Arrow VRG330,4/4/2011 7:26,,,5/4/2011 0:00,5/4/2011 0:00,5/3/2011 11:58,,,2/17/2015 11:37
Teri Waldron,30223,PRN20150001,4417R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - Caterpillar 3508LE,2/13/2015 10:34,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:42
Norma Perez,30223,PRN20110001,4417,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Caterpillar 3508LE,4/4/2011 7:34,,,5/4/2011 0:00,5/4/2011 0:00,4/25/2011 15:09,,,2/17/2015 11:42
Teri Waldron,30224,PRN20150001,4418R1,Administrative Revision ,Cimarex Energy Co of Colorado,Cimarex Energy - Cummins GTA8.3,2/13/2015 10:37,,,3/15/2015 0:00,3/15/2015 0:00,,,,2/17/2015 11:47
Imam Imanuddin,30224,PRN20110001,4418,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex Energy - Cummins GTA8.3,4/4/2011 7:43,,,5/4/2011 0:00,5/4/2011 0:00,4/28/2011 12:38,,,2/17/2015 11:47
Arianna Espinoza,30228,PRN20190001,4420R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Yale State Battery,11/13/2019 16:53,,,12/13/2019 0:00,12/13/2019 0:00,11/25/2019 11:56,,,
Maheshwar Thakur,30228,PRN20110001,4420,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Yale State Battery,4/6/2011 17:47,,,5/6/2011 0:00,5/6/2011 0:00,4/29/2011 8:52,,,
Arianna Espinoza,30234,PRN20190001,4419R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Hatfield State Battery,11/13/2019 10:36,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 15:14,,,
Martyne Kieling,30234,PRN20110001,4419,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Hatfield State Battery,4/6/2011 12:27,,,5/6/2011 0:00,5/6/2011 0:00,4/28/2011 12:03,,,
Samuel Speaker,30242,PRN20110001,4421,No Permit Required,Marvin Martinez,Marvin Martinez - Screening Plant,4/8/2011 12:54,,,,,7/21/2011 7:11,,,
Martyne Kieling,30247,PRN20120001,4422R1,Administrative Revision ,"Kirkland Construction, LLLP",Kirkland Construction - Vince Hagan CBP GCP5-4422,1/17/2012 8:38,,,2/16/2012 0:00,2/16/2012 0:00,,,,1/17/2012 8:45
Imam Imanuddin,30247,PRN20110001,4422,GCP5 - New,"Kirkland Construction, LLLP",Kirkland Construction - Vince Hagan CBP GCP5-4422,4/11/2011 15:38,,,5/11/2011 0:00,5/11/2011 0:00,4/20/2011 8:43,,,1/17/2012 14:43
Arianna Espinoza,30249,PRN20190001,4426R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Electra Federal No1 Battery,11/13/2019 17:18,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 14:38,,,
Martyne Kieling,30249,PRN20110001,4426,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Electra Federal No1 Battery,4/11/2011 16:08,,,5/11/2011 0:00,5/11/2011 0:00,5/3/2011 12:19,,,
Arianna Espinoza,30251,PRN20190001,4425R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Folk Federal Battery,11/13/2019 7:41,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 14:49,,,
Maheshwar Thakur,30251,PRN20110001,4425,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Folk Federal Battery,4/11/2011 8:20,,,5/11/2011 0:00,5/11/2011 0:00,5/3/2011 8:55,,,
Arianna Espinoza,30252,PRN20190001,4424R1,Administrative Revision ,Spur Energy Partners LLC,Spur - Holder CB Federal No11 Battery,11/13/2019 11:09,,,12/13/2019 0:00,12/13/2019 0:00,11/22/2019 15:19,,,
Martyne Kieling,30252,PRN20110001,4424,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Holder CB Federal No11 Battery,4/11/2011 8:46,,,5/11/2011 0:00,5/11/2011 0:00,5/3/2011 12:15,,,
Arianna Espinoza,30253,PRN20190001,4423R2,Administrative Revision ,Spur Energy Partners LLC,Spur - Skelly 605 Battery,11/13/2019 13:12,,,12/13/2019 0:00,12/13/2019 0:00,11/25/2019 11:20,,,
Maheshwar Thakur,30253,PRN20110001,4423,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Skelly 605 Battery,4/11/2011 9:02,,,5/11/2011 0:00,5/11/2011 0:00,4/29/2011 9:04,,,
Teri Waldron,30253,PRN20130001,4423R1,Notice of Intent ,Spur Energy Partners LLC,COG Operating - Skelly 605 Battery,9/30/2013 9:08,,,10/30/2013 0:00,10/30/2013 0:00,10/7/2013 11:00,,,
Samuel Speaker,30254,PRN20110001,4427,No Permit Required,"Par Five Energy, LLC",Par Five Energy  LLC - Par Five Concrete Batch Plant,4/18/2011 16:18,,,,,,,,8/18/2011 6:58
Samuel Speaker,30254,PRN20110003,4427M1,No Permit Required,"Par Five Energy, LLC",Par Five Energy  LLC - Par Five Energy,8/18/2011 13:26,,,,,9/21/2011 7:13,,,
Samuel Speaker,30254,PRN20110002,4427M1,Regular-New ,"Par Five Energy, LLC",Par Five Energy  LLC - Par Five Energy,8/18/2011 13:30,,9/1/2011 6:54,11/30/2011 0:00,11/30/2011 0:00,,,,9/21/2011 7:11
Denise Huff,30261,PRN20180001,4428R1,Administrative Revision ,R.E. Janes Gravel Company,R.E. Janes - Melrose Quarry GCP2-4428,1/24/2018 14:48,,,2/23/2018 0:00,2/23/2018 0:00,2/12/2018 14:50,,,
Imam Imanuddin,30261,PRN20110001,4428,GCP2-New ,R.E. Janes Gravel Company,B & B Solvent Ltd - Melrose Quarry GCP2-4428,4/12/2011 10:02,,,5/12/2011 0:00,5/12/2011 0:00,5/4/2011 10:07,,,
Teri Waldron,30261,PRN20120001,4428,Substitutions/Additions,R.E. Janes Gravel Company,B & B Solvent Ltd - Melrose Quarry GCP2-4428,7/12/2012 16:36,,,8/11/2012 0:00,8/11/2012 0:00,7/13/2012 16:36,,,
Maheshwar Thakur,30279,PRN20110001,4429,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Spud 16-5 Site,4/18/2011 10:07,,,5/18/2011 0:00,5/18/2011 0:00,5/9/2011 15:40,,,
Teri Waldron,30279,PRN20110002,4429R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Spud 16-5 Site,11/29/2011 9:42,,,12/29/2011 0:00,12/29/2011 0:00,12/14/2011 11:20,,,
Imam Imanuddin,30280,PRN20110001,4430,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Ichabod 7 Federal NO1H,4/18/2011 10:16,,,5/18/2011 0:00,5/18/2011 0:00,4/28/2011 10:01,,,
Teri Waldron,30280,PRN20110002,4430R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Ichabod 7 Federal NO1H,11/29/2011 14:52,,,12/29/2011 0:00,12/29/2011 0:00,12/14/2011 12:55,,,
Kerry Carr,30280,PRN20120001,4430R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Ichabod 7 Federal No 1H,5/7/2012 16:13,,,6/6/2012 0:00,6/6/2012 0:00,5/30/2012 15:36,,,
Norma Perez,30299,PRN20110001,4431,No Permit Required,"SolarReserve, LLC",Chaves Solar Energy LLC - Chaves Solar Energy,4/20/2011 9:26,,,,,4/28/2011 15:47,,,
Norma Perez,30300,PRN20110001,4432,No Permit Required,"SolarReserve, LLC",Roswell Solar Energy LLC - Roswell Solar Energy,4/20/2011 9:34,,,,,4/28/2011 16:15,,,
Mary Gerhart,30302,PRN20110001,4436,No Permit Required,Talon/LPE,TalonLLPE - DCP Plant to Lea Station 6in Sec31,4/21/2011 12:30,,,,,,,4/29/2011 11:07,
Mary Gerhart,30303,PRN20110001,4435,No Permit Required,Talon/LPE,TalonLPE - TNM Monument 18,4/21/2011 12:40,,,,,,,4/29/2011 11:08,
Mary Gerhart,30304,PRN20110001,4434,No Permit Required,Talon/LPE,TalonLPE - DCP Plant to Lea Station 6in No2,4/21/2011 12:47,,,,,,,4/29/2011 11:07,
Mary Gerhart,30306,PRN20110001,4433,No Permit Required,Talon/LPE,TalonLPE - TNM Monument No10,4/25/2011 16:09,,,,,,,4/29/2011 11:06,
Teri Waldron,30317,PRN20110001,4437,Notice of Exemption,Ralph's Sandblasting,Ralph's Sandblasting,4/22/2011 10:35,,,5/22/2011 0:00,5/22/2011 0:00,4/28/2011 10:35,,,
Martyne Kieling,30324,PRN20110001,4438,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Aldabra 25 Fed 6H,4/28/2011 9:19,,,5/28/2011 0:00,5/28/2011 0:00,5/18/2011 10:39,,,
Imam Imanuddin,30324,PRN20110002,4438R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Aldabra 25 Fed 6H,11/9/2011 7:07,,,12/9/2011 0:00,12/9/2011 0:00,12/8/2011 10:00,,,
Greg Tickle,30324,PRN20140001,4438R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Aldabra 25 Fed 6H,1/8/2014 8:27,,,2/7/2014 0:00,2/7/2014 0:00,1/22/2014 11:13,,,
Teri Waldron,30326,PRN20160001,4440R1,Administrative Revision ,SIMCOE LLC,BP - Various CB 9.8 NEBU Sites,2/4/2016 16:27,,,3/5/2016 0:00,3/5/2016 0:00,2/18/2016 11:28,,,
Martyne Kieling,30326,PRN20110001,4440,Notice of Intent ,SIMCOE LLC,Devon Energy - Various CB 9.8 NEBU Sites,4/28/2011 9:46,,,5/28/2011 0:00,5/28/2011 0:00,5/23/2011 9:13,,,
Martyne Kieling,30327,PRN20110001,4439,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Thistle Unit 20H,4/28/2011 10:04,,,5/28/2011 0:00,5/28/2011 0:00,5/18/2011 10:23,,,
Teri Waldron,30327,PRN20150001,4439R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Thistle Unit 20H,6/29/2015 15:47,,,7/29/2015 0:00,7/29/2015 0:00,7/1/2015 18:01,,,
Martyne Kieling,30337,PRN20110001,4442,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Tronyx 6 Federal No1 Battery,5/3/2011 8:51,,,6/2/2011 0:00,6/2/2011 0:00,5/18/2011 15:21,,,
Teri Waldron,30337,PRN20120001,4442R1,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Tronyx 6 Federal No1 Battery,1/27/2012 12:17,,,2/26/2012 0:00,2/26/2012 0:00,1/31/2012 16:10,,,
Teri Waldron,30337,PRN20140001,4442R2,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Trionyx 6 Federal No1 Battery,10/22/2014 8:17,,,11/21/2014 0:00,11/21/2014 0:00,10/24/2014 16:05,,,
Teri Waldron,30337,PRN20150001,4442R3,Notice of Intent ,Devon Energy Production Company LP,Devon Energy - Trionyx 6 Federal No1 Battery,3/25/2015 8:53,,,4/24/2015 0:00,4/24/2015 0:00,3/30/2015 10:38,,,
Teri Waldron,30345,PRN20150001,4443R1,Administrative Revision ,DE Ready Mix Inc,DE Ready Mix - DE Concrete Hatch GCP5-4443,12/9/2015 13:58,,,1/8/2016 0:00,1/8/2016 0:00,,,,12/11/2015 11:38
Imam Imanuddin,30345,PRN20110001,4443,GCP5 - New,DE Ready Mix Inc,DE Ready Mix - DE Concrete Hatch GCP5-4443,5/4/2011 7:32,,,6/3/2011 0:00,6/3/2011 0:00,5/18/2011 10:14,,,12/11/2015 11:39
