,id,name,type_code,type,status_code,status,ogrid,ogrid_name,district_code,district,county_code,county,ulstr,latitude,longitude,projection,directional_status,details,files,status2,symbology,year_spudded,spud_date,measured_vertical_depth,true_vertical_depth,pool_id_list,effective_date,plug_date,GlobalID,geometry
61312,30-045-09684,WESTERN FEDERAL #002,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,J-11-30N-16W,36.825943,-108.4931412,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09684&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045096840000&GISReferenceSource=ArcGISOnline,A,OA,1985.0,1985-07-10 00:00:00+00:00,2165.0,2165.0,[32870] HORSESHOE GALLUP,2012-09-18 00:00:00+00:00,,{BB5267A7-5EF1-450D-ABE1-AA66C46C0DFF},POINT (-108.4931412 36.82594300000005)
61511,30-045-09580,NE HOGBACK UNIT #006,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,B-15-30N-16W,36.8196754,-108.509758,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09580&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045095800000&GISReferenceSource=ArcGISOnline,A,OA,1960.0,1960-04-24 00:00:00+00:00,1750.0,1750.0,[32870] HORSESHOE GALLUP,2011-11-08 00:00:00+00:00,,{2E199983-FF47-4912-90D1-27AC78AEFD33},POINT (-108.509758 36.81967540000005)
61513,30-045-09632,NE HOGBACK UNIT #038,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,M-11-30N-16W,36.8226929,-108.5002975,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09632&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045096320000&GISReferenceSource=ArcGISOnline,A,OA,1958.0,1958-12-30 00:00:00+00:00,2117.0,2117.0,[32870] HORSESHOE GALLUP,2011-11-08 00:00:00+00:00,,{AB4A71BF-CC09-473D-9671-2411AAE918C6},POINT (-108.5002975 36.82269290000005)
61515,30-045-09656,NE HOGBACK UNIT #039,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,N-11-30N-16W,36.8235626,-108.4962082,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09656&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045096560000&GISReferenceSource=ArcGISOnline,A,OA,1958.0,1958-10-23 00:00:00+00:00,2241.0,2241.0,[32870] HORSESHOE GALLUP,2011-11-08 00:00:00+00:00,,{71DA71FA-E70D-4FBF-B695-E6EED5CE8859},POINT (-108.4962082 36.82356260000006)
61651,30-045-29215,LUNA #003,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,C-16-23N-09W,36.2322197,-107.7973557,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29215&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045292150000&GISReferenceSource=ArcGISOnline,A,OA,1996.0,1996-02-12 00:00:00+00:00,4780.0,4780.0,"[5860] BISTI, S-GALLUP (O)",1995-03-06 00:00:00+00:00,,{5F3842AF-3568-49BE-B533-CA3A60A040AF},POINT (-107.7973557 36.23221970000003)
61655,30-045-25120,BONNIE AND ED #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,J-04-29N-15W,36.7548141,-108.4191818,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25120&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045251200000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-09-28 00:00:00+00:00,4432.0,4432.0,[45450] MEADOWS GALLUP,1981-11-01 00:00:00+00:00,,{F05D6A1B-530E-4553-AE8F-96BB16D4DE99},POINT (-108.4191818 36.75481410000003)
61740,30-045-24261,NEILSON #001,O    ,Oil,A,Active,371618,RELIABLE PRODUCTION LLC,3,Aztec,45,San Juan,P-03-29N-15W,36.7496872,-108.3968582,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-24261&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045242610000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-01-27 00:00:00+00:00,4556.0,4556.0,[45450] MEADOWS GALLUP,2017-03-13 00:00:00+00:00,,{E88840A8-0782-4E97-986D-C0ACF6D76934},POINT (-108.3968581999999 36.74968720000004)
61840,30-045-10143,UTE MTN B #004,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,F-32-31N-15W,36.8592796,-108.4430695,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10143&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045101430000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-02-08 00:00:00+00:00,2144.0,2144.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{A2DCDE89-DCEC-4FBD-97E5-C40F36779DEB},POINT (-108.4430695 36.85927960000004)
62302,30-045-09949,NA DZIS PAH #001,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,G-01-30N-16W,36.8448486,-108.4749146,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09949&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045099490000&GISReferenceSource=ArcGISOnline,A,OA,1960.0,1960-01-19 00:00:00+00:00,1850.0,1850.0,[62510] VERDE GALLUP,2011-10-07 00:00:00+00:00,,{56633A59-E302-4566-AD0D-E5B1BCEF94EE},POINT (-108.4749146 36.84484860000003)
62308,30-045-10145,UTE MTN B #011,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,F-31-31N-15W,36.8590584,-108.4602203,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10145&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045101450000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-08-18 00:00:00+00:00,2010.0,2010.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{164774C8-B298-4604-A067-1D9523797167},POINT (-108.4602202999999 36.85905840000004)
62423,30-045-10911,UTE INDIAN #002,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,G-10-31N-15W,36.9172211,-108.4029388,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10911&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045109110000&GISReferenceSource=ArcGISOnline,A,OA,1956.0,1956-09-07 00:00:00+00:00,1951.0,1951.0,[62510] VERDE GALLUP,2019-01-23 00:00:00+00:00,,{EDF82AFF-C275-48C0-887F-B9300D487C30},POINT (-108.4029388 36.91722110000006)
62430,30-045-26321,WESTERN FEDERAL #001,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,O-11-30N-16W,36.822319,-108.4931488,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-26321&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045263210000&GISReferenceSource=ArcGISOnline,A,OA,1985.0,1985-03-16 00:00:00+00:00,2529.0,2529.0,[32870] HORSESHOE GALLUP,2012-09-18 00:00:00+00:00,,{223D471E-FA4C-4F3A-954C-CDB23A2D9989},POINT (-108.4931488 36.82231900000005)
62870,30-045-25806,MANGUM #012,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,E-33-29N-11W,36.6849251,-108.004776,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25806&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045258060000&GISReferenceSource=ArcGISOnline,A,OA,1984.0,1984-12-19 00:00:00+00:00,5810.0,5810.0,[2290] ARMENTA-GALLUP (O),2017-08-01 00:00:00+00:00,,{B91AF330-B6C7-4D67-A796-5D1A35D9F796},POINT (-108.004776 36.68492510000004)
62896,30-045-29350,NE HOGBACK UNIT #056,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,K-11-30N-16W,36.8257294,-108.4961166,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29350&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045293500000&GISReferenceSource=ArcGISOnline,A,OA,1997.0,1997-05-05 00:00:00+00:00,2160.0,2160.0,[32870] HORSESHOE GALLUP,2011-11-08 00:00:00+00:00,,{05076A66-2EBF-4FCB-BEF8-B25D575F855E},POINT (-108.4961166 36.82572940000006)
62953,30-045-13179,HORSESHOE GALLUP UNIT #197,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,G-35-31N-16W,36.8592796,-108.4921188,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-13179&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045131790000&GISReferenceSource=ArcGISOnline,A,OA,1960.0,1960-10-20 00:00:00+00:00,1675.0,1675.0,[32870] HORSESHOE GALLUP,2008-04-15 00:00:00+00:00,,{47D7EC76-C579-419C-8D98-2F6FAF1C2995},POINT (-108.4921188 36.85927960000004)
62959,30-045-10056,UTE MTN B #007,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,N-31-31N-15W,36.8520699,-108.4608994,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10056&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045100560000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-03-25 00:00:00+00:00,1989.0,1989.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{A64D2EC5-ADAD-4ADB-A246-A3411E87E85E},POINT (-108.4608994 36.85206990000006)
63258,30-045-24621,UTE MTN B #016,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,J-31-31N-15W,36.8558426,-108.4582138,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-24621&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045246210000&GISReferenceSource=ArcGISOnline,A,OA,1980.0,1980-10-27 00:00:00+00:00,1795.0,1795.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{DE4427FC-3B6C-476A-B3E0-E8935B8830F1},POINT (-108.4582138 36.85584260000007)
63259,30-045-10155,UTE MTN B #008,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,H-31-31N-15W,36.8592796,-108.4520874,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10155&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045101550000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-03-30 00:00:00+00:00,1870.0,1870.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{3D16A96F-D624-4D02-BFFE-2D91C6CEAE4E},POINT (-108.4520874 36.85927960000004)
63260,30-045-10380,UTE MTN B #001,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,B-29-31N-15W,36.8763046,-108.4385681,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10380&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045103800000&GISReferenceSource=ArcGISOnline,A,OA,1956.0,1956-08-19 00:00:00+00:00,2610.0,2610.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{25A0DBC7-34BB-49CC-904B-430C5ACED33C},POINT (-108.4385680999999 36.87630460000003)
63350,30-045-25785,MANGUM #008,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,K-33-29N-11W,36.6809158,-107.99823,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25785&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045257850000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-08-09 00:00:00+00:00,6100.0,6100.0,[2290] ARMENTA-GALLUP (O),2017-08-01 00:00:00+00:00,,{5E970CC4-E234-4787-9B19-85ACC5395D4C},POINT (-107.99823 36.68091580000004)
63381,30-045-35373,HORSESHOE GALLUP 18 #008H,O,Oil,A,Active,150182,ROBERT L BAYLESS PRODUCER LLC,3,Aztec,45,San Juan,H-18-30N-15W,36.8146629,-108.4503098,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35373&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045353730000&GISReferenceSource=ArcGISOnline,A,OA,2012.0,2012-09-02 00:00:00+00:00,8405.0,8355.0,[32870] HORSESHOE GALLUP,2012-07-11 00:00:00+00:00,,{04112D48-B8C6-41AB-A392-C617D5B058DE},POINT (-108.4503098 36.81466290000003)
63420,30-045-23195,UTE 22 #031,O,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,B-22-31N-15W,36.890995,-108.4017487,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-23195&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045231950000&GISReferenceSource=ArcGISOnline,A,OA,1979.0,1979-01-03 00:00:00+00:00,2350.0,2350.0,[62510] VERDE GALLUP,2015-11-20 00:00:00+00:00,,{62D7C034-E9A4-4C0E-A669-12A34C3A3AD6},POINT (-108.4017487 36.89099500000003)
63435,30-045-10667,UTE INDIAN A #010,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,M-15-31N-15W,36.8955269,-108.4110718,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10667&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045106670000&GISReferenceSource=ArcGISOnline,A,OA,1959.0,1959-01-20 00:00:00+00:00,2190.0,2190.0,[62510] VERDE GALLUP,2019-01-23 00:00:00+00:00,,{43803947-A5CF-4090-BC7B-B7B9CF123286},POINT (-108.4110717999999 36.89552690000005)
63629,30-045-35735,KINGSNAKE 34 #006,O    ,Oil,A,Active,310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",3,Aztec,45,San Juan,F-34-31N-15W,36.8588688,-108.4060675,NAD83,D,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35735&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045357350000&GISReferenceSource=ArcGISOnline,A,OA,2015.0,2015-11-07 00:00:00+00:00,4037.0,4030.0,[62510] VERDE GALLUP,2015-11-17 00:00:00+00:00,,{B1D55508-84D1-4BEE-8C4C-C9FE5D3577E6},POINT (-108.4060674999999 36.85886880000004)
63786,30-045-25159,JESSE BROWN #001,O    ,Oil,A,Active,4838,COLEMAN OIL & GAS INC,3,Aztec,45,San Juan,N-05-29N-15W,36.7508926,-108.4429855,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25159&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045251590000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-09-23 00:00:00+00:00,4301.0,4301.0,[45450] MEADOWS GALLUP,2013-07-15 00:00:00+00:00,,{6B5B5A36-75D2-46BC-B5CA-96816C8A5963},POINT (-108.4429855 36.75089260000004)
63839,30-045-10741,SOUTHERN UNION #001,O    ,Oil,A,Active,372834,"EPIC ENERGY, L.L.C.",3,Aztec,45,San Juan,H-16-31N-15W,36.9027672,-108.416275,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10741&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045107410000&GISReferenceSource=ArcGISOnline,A,OA,1961.0,1961-07-28 00:00:00+00:00,2050.0,2050.0,[62510] VERDE GALLUP,2019-01-23 00:00:00+00:00,,{0BFDFC3F-9A7C-4095-AD2A-EDC20FAE7F39},POINT (-108.416275 36.90276720000003)
63889,30-045-10240,UTE MTN B #010,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,N-29-31N-15W,36.8661804,-108.4423065,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10240&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045102400000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-04-25 00:00:00+00:00,2103.0,2103.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{602F475F-99C7-44FE-8643-CC8078760681},POINT (-108.4423065 36.86618040000008)
64102,30-045-28522,LUNA #002,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,A-16-23N-09W,36.2321091,-107.7878876,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28522&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045285220000&GISReferenceSource=ArcGISOnline,A,OA,1991.0,1991-04-28 00:00:00+00:00,4885.0,4885.0,"[5860] BISTI, S-GALLUP (O)",1991-06-01 00:00:00+00:00,,{25837C45-EE1C-415E-A917-18C2FD154C4E},POINT (-107.7878876 36.23210910000006)
64473,30-045-25737,MANGUM #005,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,K-10-28N-11W,36.674263,-107.9936523,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25737&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045257370000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-06-30 00:00:00+00:00,6073.0,6073.0,[2290] ARMENTA-GALLUP (O); [82329] OTERO CHACRA (GAS),2017-08-01 00:00:00+00:00,,{E08082D3-FDB0-475B-A09B-D4BE40D3256C},POINT (-107.9936523 36.67426300000005)
64536,30-045-10346,UTE MTN B #002,O,Oil,A,Active,224717,BIYA OPERATORS INC.,3,Aztec,45,San Juan,F-29-31N-15W,36.8737793,-108.4430847,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10346&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045103460000&GISReferenceSource=ArcGISOnline,A,OA,1956.0,1956-08-27 00:00:00+00:00,1900.0,1900.0,[62510] VERDE GALLUP,2004-07-22 00:00:00+00:00,,{79A49125-0BAF-4F8B-BBDB-E2849B133EBF},POINT (-108.4430847 36.87377930000002)
64603,30-045-25721,MANGUM #006,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,O-28-29N-11W,36.6908035,-107.993721,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25721&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045257210000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-06-19 00:00:00+00:00,6130.0,6130.0,[2290] ARMENTA-GALLUP (O); [77200] FULCHER KUTZ PICTURED CLIFFS (GAS),2017-08-14 00:00:00+00:00,,{B147141A-FBAC-45E4-9290-75811E23EB28},POINT (-107.9937209999999 36.69080350000007)
64774,30-045-35300,HORSESHOE GALLUP 18 #016H,O,Oil,A,Active,150182,ROBERT L BAYLESS PRODUCER LLC,3,Aztec,45,San Juan,P-18-30N-15W,36.8074341,-108.449852,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35300&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045353000000&GISReferenceSource=ArcGISOnline,A,OA,2011.0,2011-08-15 00:00:00+00:00,7798.0,7766.0,[32870] HORSESHOE GALLUP,2011-07-25 00:00:00+00:00,,{14554F18-7321-49AD-991D-30CCF3A61680},POINT (-108.449852 36.80743410000008)
65054,30-045-35855,NAGEEZI UNIT #507H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,A-09-23N-09W,36.248046,-107.786419,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35855&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045358550000&GISReferenceSource=ArcGISOnline,A,OA,2018.0,2018-06-22 00:00:00+00:00,12548.0,4884.0,"[98080] NAGEEZI UNIT,  MANCOS (OIL)",2019-04-01 00:00:00+00:00,,{6AC40B7F-C9AC-445F-AE1F-B29046B6ABBD},POINT (-107.786419 36.24804600000004)
65126,30-045-25762,GARY C #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,D-11-29N-15W,36.7480545,-108.3923721,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25762&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045257620000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-07-18 00:00:00+00:00,4615.0,4615.0,[45450] MEADOWS GALLUP,1983-08-01 00:00:00+00:00,,{65107C02-223B-4F67-BF3D-676126EE4919},POINT (-108.3923721 36.74805450000008)
65877,30-045-23251,UTE 13 #023,O    ,Oil,A,Active,14273,"Engineering & Production Service, Inc.",3,Aztec,45,San Juan,K-13-31N-15W,36.8988419,-108.3718033,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-23251&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045232510000&GISReferenceSource=ArcGISOnline,A,OA,1979.0,1979-01-25 00:00:00+00:00,2625.0,2625.0,[62510] VERDE GALLUP,1979-04-01 00:00:00+00:00,,{C3E0FEE5-9CD0-4E2A-AA4B-0F3B0B4D2470},POINT (-108.3718033 36.89884190000004)
65929,30-045-26521,BETSY GEIGER #001,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,D-18-25N-12W,36.4066391,-108.1604843,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-26521&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045265210000&GISReferenceSource=ArcGISOnline,A,OA,1985.0,1985-09-01 00:00:00+00:00,5230.0,5230.0,[5890] BISTI LOWER-GALLUP (O),2017-12-06 00:00:00+00:00,,{3977E503-8B40-4AF4-AAA2-F4E7F6B04024},POINT (-108.1604843 36.40663910000006)
66503,30-045-09699,NE HOGBACK UNIT #033,O,Oil,A,Active,279508,CHUZA OIL COMPANY,3,Aztec,45,San Juan,K-11-30N-16W,36.82724,-108.4970093,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-09699&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045096990000&GISReferenceSource=ArcGISOnline,A,OA,1958.0,1958-12-21 00:00:00+00:00,2030.0,2030.0,[32870] HORSESHOE GALLUP,2011-11-08 00:00:00+00:00,,{FB667EE3-3D59-4D25-AA56-5C0B86567743},POINT (-108.4970092999999 36.82724000000007)
66597,30-045-25692,HORSESHOE #001,O    ,Oil,A,Active,141852,M & G DRLG CO INC,3,Aztec,45,San Juan,K-02-29N-15W,36.753521,-108.3894806,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25692&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045256920000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-05-09 00:00:00+00:00,4712.0,4712.0,[45450] MEADOWS GALLUP,2006-06-01 00:00:00+00:00,,{0A12CC1D-029A-48BC-81EC-DFA52C8F6050},POINT (-108.3894806 36.75352100000003)
